"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c"
"a2BDm000000DHWLMA4","005Dm000000nnayIAA","","zzzMASTER-Loan - Card","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","m-card","42454587536386082","false","false","false","","","m-card","","","","PSO Clone - Not Used",""
"a2BDm000000DHWMMA4","005Dm000000nnayIAA","","zzzMASTER-Loan - Consumer","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","m-consumer","42410464651584665","false","false","false","","","m-consumer","","","","PSO Clone - Not Used",""
"a2BDm000000DHWNMA4","005Dm000000nnayIAA","","MASTER-Loan","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","m-loan","42044771180104939","false","false","false","","","m-loan","","","","",""
"a2BDm000000DHWOMA4","005Dm000000nnayIAA","","New Loan Product","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","new-loan","42964014987709751","false","false","false","","","new-loan","","","","",""
"a2BDm000000DHWPMA4","005Dm000000nnayIAA","","DocuSign","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","docusign","42493559830866569","false","false","false","","","docusign","","","","",""
"a2BDm000000DHWQMA4","005Dm000001PCR8IAO","","nCino UI Builder","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","uiconfig","42557072293211678","false","false","false","","a2GDm000000LG9nMAG","uiconfig","","","","",""
"a2BDm000000DHWRMA4","005Dm000000nnayIAA","","Memo","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","memo","42064981524503220","false","false","false","","","memo","","","","",""
"a2BDm000000DHWSMA4","005Dm000000nnayIAA","","MASTER-Product Package Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","m-pp-details","42754447670500511","false","false","false","","","m-pp-details","","","","",""
"a2BDm000000DHWTMA4","005Dm000000nnayIAA","","nCino Administration","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","admin","42945668722646292","false","false","false","","","admin","","","","",""
"a2BDm000000DHWUMA4","005Dm000000nnayIAA","","Relationship","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","relationship","42635757875411396","false","false","false","","","relationship","","","","",""
"a2BDm000000DHWVMA4","005Dm000000nnayIAA","","Deposit Customer Creation Individual","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-cc-ind","42753016822525984","false","false","false","","","dep-cc-ind","","","","",""
"a2BDm000000DHWWMA4","005Dm000000nnayIAA","","Deposit Customer Creation Business","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-cc-bus","42346516231822941","false","false","false","","","dep-cc-bus","","","","",""
"a2BDm000000DHWXMA4","005Dm000000nnayIAA","","Loan Customer Creation Individual","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","loan-cc-ind","42874089776727817","false","false","false","","","loan-cc-ind","","","","",""
"a2BDm000000DHWYMA4","005Dm000000nnayIAA","","Loan Customer Creation Business","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","loan-cc-bus","42604178718324788","false","false","false","","","loan-cc-bus","","","","",""
"a2BDm000000DHWZMA4","005Dm000000nnayIAA","","Customer Creation: Product Line Selection","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","cc-product-line","42365870589859264","false","false","false","","","cc-product-line","","","","",""
"a2BDm000000DHWaMAO","005Dm000000nnayIAA","","Deposit Product Creation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-pc","42103181906180590","false","false","false","","","dep-pc","","","","",""
"a2BDm000000DHWbMAO","005Dm000000nnayIAA","","Commercial Accelerate Loan","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","comm-accel-loan","12091615577844223","false","false","false","","","comm-accel-loan","","","","",""
"a2BDm000000DHWcMAO","005Dm000000nnayIAA","","MASTER Loan Post Approval","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","m-loan-post-approval","66341619447512452","false","false","false","","","m-loan-post-approval","","","","",""
"a2BDm000000DHWdMAO","005Dm000000nnayIAA","","MASTER Loan Booked","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","m-loan-booked","49741620937669910","false","false","false","","","m-loan-booked","","","","",""
