"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","cm_Industry_Code_Description__c","cm_Industry_Code__c"
"a1bDm000000Yme8IAC","005Dm000000nnayIAA","","531130 - Lessors of Miniwarehouses and Self-Storage Units","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Lessors of Miniwarehouses and Self-Storage Units","531130"
"a1bDm000000Yme9IAC","005Dm000000nnayIAA","","531190 - Lessors of Other Real Estate Property","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Lessors of Other Real Estate Property","531190"
"a1bDm000000YmeBIAS","005Dm000000nnayIAA","","531311 - Residential Property Managers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Residential Property Managers","531311"
"a1bDm000000YmeCIAS","005Dm000000nnayIAA","","531312 - Nonresidential Property Managers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Nonresidential Property Managers","531312"
"a1bDm000000YmeDIAS","005Dm000000nnayIAA","","531320 - Offices of Real Estate Appraisers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Offices of Real Estate Appraisers","531320"
"a1bDm000000YmeEIAS","005Dm000000nnayIAA","","531390 - Other Activities Related to Real Estate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Activities Related to Real Estate","531390"
"a1bDm000000YmeFIAS","005Dm000000nnayIAA","","532111 - Passenger Car Rental","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Passenger Car Rental","532111"
"a1bDm000000YmeGIAS","005Dm000000nnayIAA","","532112 - Passenger Car Leasing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Passenger Car Leasing","532112"
"a1bDm000000YmeHIAS","005Dm000000nnayIAA","","532120 - Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasin","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","532120"
"a1bDm000000YmeIIAS","005Dm000000nnayIAA","","532210 - Consumer Electronics and Appliances Rental","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Consumer Electronics and Appliances Rental","532210"
"a1bDm000000YmeJIAS","005Dm000000nnayIAA","","532281 - Formal Wear and Costume Rental","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Formal Wear and Costume Rental","532281"
"a1bDm000000YmeKIAS","005Dm000000nnayIAA","","532282 - Video Tape and Disc Rental","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Video Tape and Disc Rental","532282"
"a1bDm000000YmeLIAS","005Dm000000nnayIAA","","532283 - Home Health Equipment Rental","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Home Health Equipment Rental","532283"
"a1bDm000000YmeMIAS","005Dm000000nnayIAA","","532284 - Recreational Goods Rental","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Recreational Goods Rental","532284"
"a1bDm000000YmeNIAS","005Dm000000nnayIAA","","532289 - All Other Consumer Goods Rental","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","All Other Consumer Goods Rental","532289"
"a1bDm000000YmeOIAS","005Dm000000nnayIAA","","532412 - Construction, Mining, and Forestry Machinery and Equipment Rental and L","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","532412"
"a1bDm000000YmePIAS","005Dm000000nnayIAA","","532310 - General Rental Centers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","General Rental Centers","532310"
"a1bDm000000YmeQIAS","005Dm000000nnayIAA","","532411 - Commercial Air, Rail, and Water Transportation Equipment Rental and Lea","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing","532411"
"a1bDm000000YmeRIAS","005Dm000000nnayIAA","","532420 - Office Machinery and Equipment Rental and Leasing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Office Machinery and Equipment Rental and Leasing","532420"
"a1bDm000000YmeSIAS","005Dm000000nnayIAA","","532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leas","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Commercial and Industrial Machinery and Equipment Rental and Leasing","532490"
"a1bDm000000YmeTIAS","005Dm000000nnayIAA","","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","533110"
"a1bDm000000YmeUIAS","005Dm000000nnayIAA","","541110 - Offices of Lawyers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Offices of Lawyers","541110"
