"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c"
"a3fDm000000079jIAA","","a5xDm000000Cou1","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBSMA0","a18Dm000000H4YRIA0","42379770317103671"
"a3fDm000000079kIAA","","a5xDm000000Cou2","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a18Dm000000H4YSIA0","42496590281977227"
"a3fDm000000079lIAA","","ProformaCFC","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuAWMA0","a18Dm000000H4YTIA0","42831016732692300"
"a3fDm000000079mIAA","","a5xDm000000Cou3","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a18Dm000000H4YUIA0","42952095920428467"
"a3fDm000000079nIAA","","a5xDm000000Cou4","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBTMA0","a18Dm000000H4a1IAC","42267007066532485"
"a3fDm000000079oIAA","","a5xDm000000Cou5","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBUMA0","a18Dm000000H4a1IAC","42844383800527772"
"a3fDm000000079pIAA","","a5xDm000000Cou6","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuApMAK","a18Dm000000H4a2IAC","42813299155919173"
"a3fDm000000079qIAA","","a5xDm000000Cou7","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4a2IAC","42405026851972917"
"a3fDm000000079rIAA","","a5xDm000000Cou8","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBVMA0","a18Dm000000H4a3IAC","42397025327007868"
"a3fDm000000079sIAA","","a5xDm000000Cou9","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4a3IAC","42888841925503522"
"a3fDm000000079tIAA","","a5xDm000000CouA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBWMA0","a18Dm000000H4a4IAC","42424504968056668"
"a3fDm000000079uIAA","","a5xDm000000CouB","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBXMA0","a18Dm000000H4a4IAC","42134057724463346"
"a3fDm000000079vIAA","","a5xDm000000CouC","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBYMA0","a18Dm000000H4a5IAC","42621950577058595"
"a3fDm0000000723IAA","","a5xDm000000Copm","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8xMAC","a18Dm000000H4hlIAC","82547339770533133"
"a3fDm0000000724IAA","","a5xDm000000Copn","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9RMAS","a18Dm000000H4g8IAC","82374149857482041"
"a3fDm0000000725IAA","","a5xDm000000Copo","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8xMAC","a18Dm000000H4gAIAS","82550013343336321"
"a3fDm0000000726IAA","","a5xDm000000Copp","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8xMAC","a18Dm000000H4gCIAS","82038271634572038"
"a3fDm0000000728IAA","","a5xDm000000Copq","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8xMAC","a18Dm000000H4gDIAS","82426187197458333"
"a3fDm0000000729IAA","","a5xDm000000Copr","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8xMAC","a18Dm000000H4gEIAS","82357908035485526"
"a3fDm000000072AIAQ","","a5xDm000000Cops","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8xMAC","a18Dm000000H4gFIAS","82671477309927854"
"a3fDm000000072BIAQ","","Rental Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9SMAS","a18Dm000000H4eGIAS","asdflkadjsdfhasdkljfhaskjh17"
"a3fDm000000072CIAQ","","Other Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9TMAS","a18Dm000000H4eFIAS","asdflkadjsdfhasdkljfhaskjh21"
"a3fDm000000072DIAQ","","Other Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9TMAS","a18Dm000000H4eHIAS","asdflkadjsdfhasdkljfhaskjh22"
"a3fDm000000072EIAQ","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9UMAS","a18Dm000000H4eSIAS","asdflkadjsdfhasdkljfhaskjh34"
"a3fDm000000072FIAQ","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9UMAS","a18Dm000000H4eUIAS","asdflkadjsdfhasdkljfhaskjh37"
"a3fDm000000072GIAQ","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9UMAS","a18Dm000000H4eVIAS","asdflkadjsdfhasdkljfhaskjh38"
"a3fDm000000072HIAQ","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9UMAS","a18Dm000000H4eQIAS","asdflkadjsdfhasdkljfhaskjh40"
"a3fDm000000072IIAQ","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9UMAS","a18Dm000000H4eTIAS","asdflkadjsdfhasdkljfhaskjh41"
"a3fDm000000072JIAQ","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9UMAS","a18Dm000000H4eWIAS","asdflkadjsdfhasdkljfhaskjh42"
"a3fDm000000072KIAQ","","Debt Service","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9VMAS","a18Dm000000H4ePIAS","lkadjsdfhasdkljfhaskjh1"
"a3fDm000000072LIAQ","","CRE Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9UMAS","a18Dm000000H4eLIAS","asdflkadjsdfhasdkljfhaskjh51"
"a3fDm000000072MIAQ","","Vacancy Rate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9WMAS","a18Dm000000H4eIIAS","lkadjsdfhasdkljfhaskjh5"
"a3fDm000000072NIAQ","","Total Vacancy Amount","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9XMAS","a18Dm000000H4eKIAS","lkadjsdfhasdkljfhaskjh6"
"a3fDm000000072OIAQ","","Debt Service","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9VMAS","a18Dm000000H4eZIAS","lkadjsdfhasdkljfhaskjh7"
"a3fDm000000072PIAQ","","Total Available Rooms","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9YMAS","a18Dm000000H4fNIAS","lkadjsdfhasdkljfhaskjh9"
"a3fDm000000072QIAQ","","Room Revenue","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9ZMAS","a18Dm000000H4emIAC","lkadjsdfhasdkljfhaskjh14"
"a3fDm000000072RIAQ","","Cap Rate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9aMAC","a18Dm000000H4ecIAC","lkadjsdfhasdkljfhaskjh15"
"a3fDm000000072SIAQ","","a5xDm000000Copt","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9bMAC","a18Dm000000H4a8IAC","42109315587967854"
"a3fDm000000072TIAQ","","a5xDm000000Copu","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9cMAC","a18Dm000000H4aAIAS","42511689511012360"
"a3fDm000000072UIAQ","","a5xDm000000Copv","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4aAIAS","42164226135940894"
"a3fDm000000072VIAQ","","a5xDm000000Copw","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7RMAS","a18Dm000000H4aBIAS","42038529671995972"
"a3fDm000000072WIAQ","","a5xDm000000Copx","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4aBIAS","42409252067904677"
"a3fDm000000072XIAQ","","a5xDm000000Copy","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9dMAC","a18Dm000000H4aCIAS","42468738272662484"
"a3fDm000000079wIAA","","a5xDm000000CouD","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9qMAC","a18Dm000000H4a5IAC","42040605129878923"
"a3fDm000000079xIAA","","a5xDm000000CouE","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBZMA0","a18Dm000000H4a6IAC","42248472984660273"
"a3fDm000000079yIAA","","a5xDm000000CouF","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9qMAC","a18Dm000000H4a6IAC","42008642009258345"
