"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3YDm000000Gu8mMAC","005Dm000000nnayIAA","","Other Gen & Admin Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","Other_Gen_Admin_Expense_ACCTGRD"
"a3YDm000000Gu8nMAC","005Dm000000nnayIAA","","Sch. E - Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_Expenses_ACCTGRD"
"a3YDm000000Gu8oMAC","005Dm000000nnayIAA","","Sch. E - Royalties Received","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_ Royalties_Received _ACCTGRD"
"a3YDm000000Gu8pMAC","005Dm000000nnayIAA","","Sch. E - Mortgage Interest Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_ Mortgage_Interest_Expense_ACCTGRD"
"a3YDm000000Gu8qMAC","005Dm000000nnayIAA","","Sch. E - Other Interest Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_ Other_Interest_Expense_ACCTGRD"
"a3YDm000000Gu8rMAC","005Dm000000nnayIAA","","Sch. E - Depreciation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_ Depreciation_ACCTGRD"
"a3YDm000000Gu8sMAC","005Dm000000nnayIAA","","Sch. E - Income from Partnerships & S Corps","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_Income_from_Partn_and_S_Corps_ACCTGRD"
"a3YDm000000Gu8tMAC","005Dm000000nnayIAA","","Sch. E - Income from Estates & Trusts","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_Income_from_Estates_and_Trusts_ACCTGRD"
"a3YDm000000Gu8uMAC","005Dm000000nnayIAA","","Sch. E - Income from Mortgage Inv. Conduits","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_Income_from_Mortgage_Inv_Conduits_ACCTGRD"
"a3YDm000000Gu8vMAC","005Dm000000nnayIAA","","Sch. F - Sales of Livestock","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_F_Sales_of_Livestock_ACCTGRD"
"a3YDm000000Gu8wMAC","005Dm000000nnayIAA","","Sch. F - Cost of Livestock","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_F_Cost_of_Livestock_ACCTGRD"
"a3YDm000000Gu8xMAC","005Dm000000nnayIAA","","Sch. F - Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_F_Expenses_ACCTGRD"
"a3YDm000000Gu8yMAC","005Dm000000nnayIAA","","Sch. F - Depreciation Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_F_Depreciation_Expense_ACCTGRD"
"a3YDm000000Gu8zMAC","005Dm000000nnayIAA","","Interest Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Interest_Coverage_ACCTGRD"
"a3YDm000000Gu90MAC","005Dm000000nnayIAA","","NI+Depr+Amort-Divs / CP CPLTD","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","NIDeprAmortDivs_CP_CPLTD_ACCTGRD"
"a3YDm000000Gu91MAC","005Dm000000nnayIAA","","Fixed Charge Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Fixed_Charge_Coverage_ACCTGRD"
