"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a3gDm000000g1VmIAI","","a5yDm00000008ax","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCZMA0","a16Dm000000MOgkIAG","42680314573329189"
"a3gDm000000g1VnIAI","","a5yDm00000008ay","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a16Dm000000MOglIAG","42496268631126548"
"a3gDm000000g1VoIAI","","a5yDm00000008az","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCBMA0","a16Dm000000MOgmIAG","42534430574358313"
"a3gDm000000g1VpIAI","","a5yDm00000008b0","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCCMA0","a16Dm000000MOgnIAG","42156691367111357"
"a3gDm000000g1VqIAI","","a5yDm00000008b2","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCDMA0","a16Dm000000MOgoIAG","42022184342966776"
"a3gDm000000g1VrIAI","","a5yDm00000008b3","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCwMAK","a16Dm000000MOgqIAG","42934119604943056"
"a3gDm000000g1VsIAI","","a5yDm00000008b1","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCxMAK","a16Dm000000MOgrIAG","42910178144393915"
"a3gDm000000g1VtIAI","","a5yDm00000008b4","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCyMAK","a16Dm000000MOgsIAG","42437399167200281"
"a3gDm000000g1VuIAI","","a5yDm00000008b5","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCzMAK","a16Dm000000MOguIAG","42935920166063361"
"a3gDm000000g1VvIAI","","a5yDm00000008b6","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCQMA0","a16Dm000000MOgdIAG","42613641652274191"
"a3gDm000000g1VwIAI","","a5yDm00000008b7","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD0MAK","a16Dm000000MOgvIAG","42705532939685252"
"a3gDm000000g1VxIAI","","a5yDm00000008b8","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD1MAK","a16Dm000000MOgwIAG","4279132151806066"
"a3gDm000000g1VyIAI","","a5yDm00000008b9","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD2MAK","a16Dm000000MOgtIAG","42459424860780362"
"a3gDm000000g1VzIAI","","a5yDm00000008bA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD3MAK","a16Dm000000MOh0IAG","42262272360575318"
"a3gDm000000g1W0IAI","","a5yDm00000008bB","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCtMAK","a16Dm000000MOjnIAG","42300919856385740"
"a3gDm000000g1W1IAI","","a5yDm00000008bC","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCAMA0","a16Dm000000MOjoIAG","42982765655156760"
"a3gDm000000g1W2IAI","","a5yDm00000008bD","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD4MAK","a16Dm000000MOgxIAG","42424771161578543"
"a3gDm000000g1W3IAI","","a5yDm00000008bE","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD5MAK","a16Dm000000MOgyIAG","42582637683594777"
"a3gDm000000g1W4IAI","","a5yDm00000008bF","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD6MAK","a16Dm000000MOgzIAG","42633620225767069"
"a3gDm000000g1W5IAI","","a5yDm00000008bG","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD7MAK","a16Dm000000MOh1IAG","42349255029787872"
"a3gDm000000g1W6IAI","","a5yDm00000008bH","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD8MAK","a16Dm000000MOh3IAG","42382648727168838"
"a3gDm000000g1W7IAI","","a5yDm00000008bI","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuD9MAK","a16Dm000000MOh4IAG","42099746917916852"
"a3gDm000000g1W8IAI","","a5yDm00000008bJ","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDAMA0","a16Dm000000MOh5IAG","42712052215817314"
"a3gDm000000g1W9IAI","","a5yDm00000008bK","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDBMA0","a16Dm000000MOh7IAG","42720057525312527"
"a3gDm000000g1WAIAY","","a5yDm00000008bL","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDCMA0","a16Dm000000MOh8IAG","42622134494188427"
"a3gDm000000g1WBIAY","","a5yDm00000008bM","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDDMA0","a16Dm000000MOh9IAG","42698198477025253"
"a3gDm000000g1WCIAY","","a5yDm00000008bN","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDEMA0","a16Dm000000MOh6IAG","42314357093115738"
"a3gDm000000g1WDIAY","","a5yDm00000008bO","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDFMA0","a16Dm000000MOhAIAW","42976559829249084"
"a3gDm000000g1WEIAY","","a5yDm00000008bP","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDGMA0","a16Dm000000MOhBIAW","42623736518220014"
"a3gDm000000g1WFIAY","","a5yDm00000008bQ","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDHMA0","a16Dm000000MOhEIAW","42522608483847095"
"a3gDm000000g1WGIAY","","a5yDm00000008bR","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCAMA0","a16Dm000000MOhDIAW","42854018633259855"
"a3gDm000000g1WHIAY","","a5yDm00000008bS","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDIMA0","a16Dm000000MOhFIAW","42718847883012528"
"a3gDm000000g1WIIAY","","a5yDm00000008bT","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuC8MAK","a16Dm000000MOhCIAW","42445878147996454"
"a3gDm000000g1WJIAY","","a5yDm00000008bU","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuC9MAK","a16Dm000000MOhHIAW","42760436113612707"
"a3gDm000000g1WKIAY","","totalassets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDJMA0","a16Dm000000MOflIAG","pfstotalassets"
"a3gDm000000g1WLIAY","","a5yDm00000008bV","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCAMA0","a16Dm000000MOhIIAW","42615966716940833"
"a3gDm000000g1WMIAY","","a5yDm00000008bW","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDKMA0","a16Dm000000MOh2IAG","42097011016890176"
"a3gDm000000g1WNIAY","","pfsadjustednetworth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuDLMA0","a16Dm000000MOfmIAG","pfsadjustednetworthlk"
