"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2yDm000000oRpzIAE","005Dm000000nnayIAA","","OR-000158","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxzIAC","a2zDm000000TYbjIAG","a30Dm000000XmxfIAC","768343726252058932"
"a2yDm000000oRq0IAE","005Dm000000nnayIAA","","OR-000159","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy1IAC","a2zDm000000TYc0IAG","a30Dm000000XmxkIAC","369445451405573998"
"a2yDm000000oRq1IAE","005Dm000000nnayIAA","","OR-000160","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","not equal to","a30Dm000000Xmy2IAC","a2zDm000000TYcFIAW","a30Dm000000Xmy3IAC","846421204813844502"
"a2yDm000000oRq2IAE","005Dm000000nnayIAA","","OR-000162","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyCIAS","a2zDm000000TYaBIAW","a30Dm000000Xmy9IAC","a2yDm000000oRqnIAE"
"a2yDm000000oRq3IAE","005Dm000000nnayIAA","","OR-000161","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyEIAS","a2zDm000000TYZpIAO","a30Dm000000Xmy9IAC","a2yDm000000oRqoIAE"
"a2yDm000000oRq4IAE","005Dm000000nnayIAA","","OR-000163","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyEIAS","a2zDm000000TYaEIAW","a30Dm000000Xmy8IAC","a2yDm000000oRqpIAE"
"a2yDm000000oRq5IAE","005Dm000000nnayIAA","","OR-000164","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyEIAS","a2zDm000000TYaCIAW","a30Dm000000XmyBIAS","a2yDm000000oRqrIAE"
"a2yDm000000oRq6IAE","005Dm000000nnayIAA","","OR-000165","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy8IAC","a2zDm000000TYaDIAW","a30Dm000000XmyBIAS","a2yDm000000oRqsIAE"
"a2yDm000000oRq7IAE","005Dm000000nnayIAA","","OR-000166","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyDIAS","a2zDm000000TYaFIAW","a30Dm000000Xmy8IAC","a2yDm000000oRqtIAE"
"a2yDm000000oRq8IAE","005Dm000000nnayIAA","","OR-000167","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyEIAS","a2zDm000000TYaGIAW","a30Dm000000XmyCIAS","a2yDm000000oRqqIAE"
"a2yDm000000oRq9IAE","005Dm000000nnayIAA","","OR-000168","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyBIAS","a2zDm000000TYaHIAW","a30Dm000000XmyCIAS","a2yDm000000oRquIAE"
"a2yDm000000oRqAIAU","005Dm000000nnayIAA","","OR-000169","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyAIAS","a2zDm000000TYZpIAO","a30Dm000000Xmy9IAC","a2yDm000000oRqvIAE"
"a2yDm000000oRqBIAU","005Dm000000nnayIAA","","OR-000170","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyAIAS","a2zDm000000TYaCIAW","a30Dm000000XmyBIAS","a2yDm000000oRqwIAE"
"a2yDm000000oRqCIAU","005Dm000000nnayIAA","","OR-000171","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyAIAS","a2zDm000000TYaEIAW","a30Dm000000Xmy8IAC","a2yDm000000oRqxIAE"
"a2yDm000000oRqDIAU","005Dm000000nnayIAA","","OR-000172","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyAIAS","a2zDm000000TYaGIAW","a30Dm000000XmyCIAS","a2yDm000000oRqyIAE"
"a2yDm000000oRqEIAU","005Dm000000nnayIAA","","OR-000174","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyEIAS","a2zDm000000TYaIIAW","a30Dm000000XmyDIAS","42065070763544206"
"a2yDm000000oRqFIAU","005Dm000000nnayIAA","","OR-000173","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyAIAS","a2zDm000000TYaIIAW","a30Dm000000XmyDIAS","42902124794470674"
"a2yDm000000oRqGIAU","005Dm000000nnayIAA","","OR-000176","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyEIAS","a2zDm000000TYaIIAW","a30Dm000000XmyDIAS","42614734659258523"
"a2yDm000000oRqHIAU","005Dm000000nnayIAA","","OR-000175","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmyAIAS","a2zDm000000TYaIIAW","a30Dm000000XmyDIAS","42104740385859730"
