"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c"
"a1TDm0000004j9SMAQ","","276B33B0_1F81_40DF_B5BB_20FD218B1089","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","ECM Offloader","true","ecm_plugin_version","","","false","",""
"a1TDm0000004j9TMAQ","","F6E9BFC1_9394_4D05_9953_3D420B0111F5","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Account_Record_Type","true","Default Business Record Type","","","false","",""
"a1TDm0000004j9UMAQ","","BC46E48E_E043_4782_8148_3FF052832B38","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Converted Opportunity Stage","true","LLC_BI__Deposit__c","Closed Won","","false","",""
"a1TDm0000004j9VMAQ","","C49AE568_B484_4EC1_B14F_7A6DEB244BC0","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Account_Record_Type","true","Account Record Type Trigger Enabled","False","","false","",""
"a1TDm0000004j9WMAQ","","34EA4F5D_79CC_4388_86A4_177F4CE6B5D2","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Account_Record_Type","true","Default Individual Model","","","false","",""
"a1TDm0000004j9XMAQ","","65C4176F_F04C_4F70_97B9_DE34F15F0868","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Account_Record_Type","true","Default Household Record Type","","","false","",""
"a1TDm0000004j9YMAQ","","DC02002F_0EB6_45A9_A909_A946432B906B","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","FSC","true","FSC Namespace","FinServ","","false","",""
"a1TDm0000004j9ZMAQ","","89E8EADC_DD5E_4862_A74A_5903C21BFF83","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","FSC","true","Maintain Financial Account","false","","false","",""
"a1TDm0000004j9aMAA","","0478EE23_6DEB_4FA7_883F_CDBA8FE2266C","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","FSC","true","Loan RecordType","FinServ__LoanAccount","","false","",""
"a1TDm0000004j9bMAA","","AEB367E7_F0B2_4C4E_9DE3_28FD8697A8FE","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","FSC","true","Deposit RecordType","FinServ__BankingAccount","","false","",""
"a1TDm0000004j9cMAA","","239AE37E_615E_4B3F_B39E_A2609F9232B4","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Deposit Account Funding","true","Deposit Account Funding Field Set (Deposit Object)","","","false","",""
"a1TDm0000004j9dMAA","","1CD1B133_B5B8_4EBE_8434_A7A6A3636BB3","","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","UI_Framework","true","Use_NDS_Components","false","Enable NDS components in UI Framework","false","",""
"a1TDm0000004j9eMAA","","7FEBE947_8647_4109_A18C_2518BCE2F76D","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Vehicle Valuations","true","Available Vehicle Collateral Field Set","Available_Vehicle_Collateral_Details","This mandatory field set contains fields with the vehicle details of available pieces of collateral. This field set is commonly used with vehicle valuations.","false","",""
"a1TDm0000004j9fMAA","","AB49B379_5B09_4A74_9F90_BBFE32DA3148","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Deposit Account Funding","true","Deposit Account Funding Field Set (Contact Object)","","","false","",""
"a1TDm0000004j9gMAA","","E5ACC013_46C5_4438_A5A8_D3F1D278BD2D","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Deposit Account Funding","true","Deposit Account Funding Field Set (Funding Method Object)","","","false","",""
"a1TDm0000004j9hMAA","","7988A9E9_DF92_4874_990B_60B7CC24B120","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Deposit Account Funding","true","Funding Request Class Name","","This system property stores the fully qualified name of the class used for the deposit funding vendor to submit the initial funding request.","false","",""
"a1TDm0000004j9iMAA","","C2445191_ED6D_4037_B6AA_0892D1B53FE1","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Deposit Account Funding","true","Verification Request Class Name","","This system property stores the fully qualified name of the class used to verify trial deposits.","false","",""
"a1TDm0000004j9jMAA","","2FEA2A5F_C78D_47B0_91FA_C06B2114020F","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","FSC","true","Asynchronous Synchronization","true","Determine if asynchronous synchronization will be used for users with limited licenses.","false","",""
"a1TDm0000004j9kMAA","","EB6040B8_4112_4956_939C_02AE8DD4754F","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","smart_checklist","false","Checklist Generation","","Enables Smart Checklist Auto Generation of Requirements.","false","",""
"a1TDm0000004j9lMAA","","3AF0B5D3_09DC_4869_87B5_ABCBD58956D8","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Loan Approval Dashboard","true","Use Loan Approval History Page on Dashboard","false","This system properties controls which Loan Approval History page is injected into the loan dashboard.","false","",""
"a1TDm0000004j9mMAA","","4B6825A2_6F27_4708_B805_1B1145CBBDC2","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","New Customer Creation","true","Ignore Household","true","","false","",""
"a1TDm0000004j9nMAA","","07287A2E_48D9_4623_A8BB_E0A12CCBD1FF","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","declines_and_withdrawals","true","decline_withdraw_from_highest_down","false","","false","",""
"a1TDm0000004j9oMAA","","8D9282ED_11B5_4917_B13E_6D19FEB00BD3","","2023-02-24T16:04:45.000Z","005Dm000001PCRCIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRCIA4","","FieldMap Configuration","true","fieldMap.configuredKeys","name,value,type,label,isRequired","","false","",""
"a1TDm0000004j9pMAA","","17A775D9_5D46_45F6_81BD_6FD816D9F85D","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","true","Portal_Acct_Owner_User_Ownership_Limit","49900","This value of system property defines the number of Customer Portal user records a Customer Portal Account Owner User can own. The value defaults to 50,000 user records.","false","",""
"a1TDm0000004j9qMAA","","44A98E41_748D_429F_A311_58CBFECFB538","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Loan_Team_Role_Display","","","false","",""
"a1TDm0000004j9rMAA","","4DB8B521_8144_4BA9_9204_343F8CAA404F","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","true","Filter_Collateral_by_Primary_Owner","Filter_Collateral_by_Primary_Owner","Evaluates if primary owner checkbox on collateral record is checked. If active, suggested collateral in Customer Portal shows only records where applicant is primary owner. If inactive, shows all collateral regardless of ownership.","false","",""
"a1TDm0000004j9sMAA","","4F40CBCF_D6A5_49B9_8DFB_020C5EAB308A","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Disable_Automatic_Portal_Emails","Disable_Automatic_Portal_Emails","This custom setting is used to disable the sending of automatic emails while interacting with Customer Portal functionality. If custom setting is active, then automatic emails are disabled.","false","",""
"a1TDm0000004j9tMAA","","B01C0261_3A14_484D_A483_40400F6C1494","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Document_Upload_User_Name","","This is the user name of the user created during configuration (Customer Portal Document Upload User).","false","",""
"a1TDm0000004j9uMAA","","4D31C5E4_5A33_47B0_ADA2_A5837D060DDA","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Document_Upload_Consumer_Secret","","The client password used to authenticate with the connected app for document upload.","false","",""
"a1TDm0000004j9vMAA","","2CFD01BA_3671_4C75_AF09_59E7CB24E528","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Document_Upload_Consumer_Key","","This is the API key associated with the application, stored in the connected app as Consumer Key under OAuth settings.","false","",""
"a1TDm0000004j9wMAA","","F8922B6A_CF3B_46B0_AC06_CF90F8B0AB2F","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Document_Upload_Name_Credential_Name","","Unique identifier used to refer to the named credential definition for the document upload user in the API.","false","",""
"a1TDm0000004j9xMAA","","7846B859_37E7_44F8_8866_11A1F65CD449","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Custom_JavaScript","","When this custom setting is active, the custom JavaScript provided is enabled on the page. The value of this custom setting is the name of a fully qualified (includes namespace if applicable) VisualForce page.","false","",""
"a1TDm0000004j9yMAA","","02C0564F_BD93_43ED_9BDE_945A81E63466","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","true","OA_Approved_Status_Name","Approved","Use this custom setting to define the value that replaces 'Approved' in the application status picklist.","false","",""
"a1TDm0000004j9zMAA","","3CE3CEA1_CB45_4AFE_B665_EA3D1A57C5DD","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","true","OA Auto Decision Timeout","30","Use this custom setting to define how long an application should process before timing out when using auto decision in online applications.","false","",""
"a1TDm0000004jA0MAI","","B4BDC8A0_E61A_4F2B_93AE_84774B2CBB72","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CUSTOMER_PORTAL","false","Self_Registration_With_Password","Self_Registration_With_Password","If this custom setting is active, the Self-Registration page displays the password selection component.","false","",""
