"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c"
"a1DDm000000kUpnMAE","","42626767174220354","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","PRODUCT_PACKAGE","true","CloneFieldsWithLoanTakedown","true",""
"a1DDm000000kUpoMAE","","42431469525291339","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","PRODUCT_PACKAGE","true","IndividualApprovalsOnPropagation","false",""
"a1DDm000000kUppMAE","","A12F2C92_2D61_411C_A161_F9F7AE1C2B4F","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","policy_exception_example_category","true","policy_exception_example_category","false",""
"a1DDm000000kUpqMAE","","42513881874383010","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CLA","true","BudgetFieldsToCopy","Budget_Template__c,Name,Description__c,Is_Initially_Editable__c,Is_Template__c,Total_Budget_Amount__c,Total_Allocated__c",""
"a1DDm000000kUprMAE","","42522773656223728","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CLA","true","EnableDrawRequestLineItemToExceedRemainingAmount","true",""
"a1DDm000000kUpsMAE","","42124981758521473","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CLA","true","BudgetLineItemFieldsToCopy","Amount_Budgeted__c,Description__c,Notes__c,Order__c",""
"a1DDm000000kUptMAE","","42022562479159880","","2023-02-24T16:04:45.000Z","005Dm000001PCRAIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRAIA4","","underwriting","true","Enable_RMA_Benchmarking","false",""
"a1DDm000000kUpuMAE","","42351515002834160","","2023-02-24T16:04:45.000Z","005Dm000001PCRAIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRAIA4","","underwriting","true","RMA_AWS_Token","awsToken",""
"a1DDm000000kUpvMAE","","42036379942739795","","2023-02-24T16:04:45.000Z","005Dm000001PCRAIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRAIA4","","underwriting","true","RMA_AWS_URL","awsUrl",""
"a1DDm000000kUpwMAE","","Respondent ID","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Respondent_Id","","This field indicates the Financial Institutions respondent ID based on the regulating agency and type of institution."
